epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,52.3103,1.49127,2.02825,1.64492,0.48657,0.36581,0.29272,0.1597,2.06923,3.48388,2.24714,0.000662698,0.000662698,0.000662698
2,109.72,1.68894,1.91758,1.77596,0.49033,0.3529,0.26894,0.13377,2.45957,2.93624,2.70693,0.00132904,0.00132904,0.00132904
3,154.487,1.70189,1.8756,1.79246,0.42457,0.20968,0.18549,0.09689,2.58429,3.04544,2.94184,0.00199408,0.00199408,0.00199408
4,199.671,1.63641,1.74748,1.72229,0.39025,0.31226,0.24758,0.12205,2.60101,3.36123,2.90249,0.00199561,0.00199561,0.00199561
5,243.929,1.64129,1.74253,1.74939,0.47301,0.42129,0.28263,0.16109,2.12067,2.49604,2.27247,0.00199219,0.00199219,0.00199219
6,299.363,1.60447,1.69464,1.71028,0.51918,0.42194,0.34484,0.21193,2.10904,2.38592,2.36582,0.00198781,0.00198781,0.00198781
7,352.556,1.55705,1.6431,1.6806,0.5276,0.48516,0.38666,0.24603,2.00537,2.23998,2.18172,0.00198246,0.00198246,0.00198246
8,410.279,1.56666,1.6667,1.68781,0.56659,0.46556,0.39089,0.23469,2.02609,2.37293,2.23805,0.00197616,0.00197616,0.00197616
9,464.635,1.52347,1.60302,1.63292,0.54693,0.4471,0.38441,0.22804,2.15383,2.39853,2.42193,0.0019689,0.0019689,0.0019689
10,516.888,1.49873,1.57361,1.63048,0.58184,0.45935,0.41076,0.2607,2.05931,2.30625,2.30436,0.00196069,0.00196069,0.00196069
11,561.434,1.48182,1.57574,1.62069,0.51909,0.43484,0.38777,0.23703,2.14036,2.3284,2.4015,0.00195155,0.00195155,0.00195155
12,604.814,1.45355,1.52023,1.59146,0.54515,0.47677,0.38866,0.24721,1.99979,2.2964,2.30289,0.00194147,0.00194147,0.00194147
13,645.543,1.42376,1.50715,1.57483,0.56869,0.48516,0.4025,0.2502,1.98463,2.25817,2.29355,0.00193048,0.00193048,0.00193048
14,687.282,1.44287,1.50641,1.59394,0.66986,0.38323,0.37805,0.23707,2.07965,2.47511,2.3067,0.00191858,0.00191858,0.00191858
15,729.765,1.40174,1.47154,1.55641,0.64682,0.44,0.41969,0.26831,2.0388,2.24002,2.21767,0.00190578,0.00190578,0.00190578
16,771.995,1.39789,1.48275,1.55971,0.57713,0.4871,0.42449,0.27812,1.88451,2.15813,2.14632,0.0018921,0.0018921,0.0018921
17,813.398,1.39592,1.4541,1.55046,0.59207,0.48411,0.3938,0.25124,1.89488,2.15038,2.12805,0.00187754,0.00187754,0.00187754
18,854.194,1.36077,1.42741,1.53367,0.55704,0.42774,0.38547,0.24288,1.98252,2.3271,2.1956,0.00186213,0.00186213,0.00186213
19,894.619,1.38095,1.43435,1.53305,0.65323,0.45935,0.41327,0.27187,1.93825,2.39582,2.2337,0.00184588,0.00184588,0.00184588
20,935.074,1.36638,1.42613,1.52347,0.54265,0.50839,0.34133,0.2157,1.88735,2.26429,2.14318,0.00182881,0.00182881,0.00182881
21,976.138,1.36135,1.43263,1.53192,0.57019,0.51806,0.40912,0.26769,1.80839,2.08195,2.06898,0.00181093,0.00181093,0.00181093
22,1018.34,1.3321,1.37052,1.507,0.56745,0.52476,0.38976,0.25393,1.83246,2.12463,2.08539,0.00179225,0.00179225,0.00179225
23,1058.97,1.33394,1.37353,1.49687,0.62168,0.47708,0.4265,0.27035,1.9006,2.20397,2.08956,0.00177281,0.00177281,0.00177281
24,1101.07,1.30863,1.35639,1.49798,0.58622,0.51734,0.36016,0.2263,1.87416,2.1466,2.1055,0.00175261,0.00175261,0.00175261
25,1141.86,1.34099,1.37093,1.50344,0.59355,0.49935,0.40585,0.26645,1.90301,2.17072,2.08848,0.00173168,0.00173168,0.00173168
26,1183.33,1.31543,1.35895,1.48432,0.57636,0.52194,0.37495,0.23919,1.84503,2.17716,2.11622,0.00171004,0.00171004,0.00171004
27,1224.8,1.31111,1.37141,1.47955,0.57212,0.52581,0.36714,0.23213,1.86763,2.29693,2.08029,0.0016877,0.0016877,0.0016877
28,1267.35,1.3102,1.36029,1.49651,0.60977,0.47613,0.42632,0.27719,1.92873,2.21516,2.20835,0.0016647,0.0016647,0.0016647
29,1309.29,1.2921,1.3095,1.46548,0.61587,0.5271,0.43296,0.28732,1.80652,2.03331,2.04874,0.00164105,0.00164105,0.00164105
30,1351.92,1.2813,1.32295,1.46639,0.63721,0.49871,0.44596,0.28657,1.89937,2.12039,2.12189,0.00161678,0.00161678,0.00161678
31,1395.87,1.2994,1.35539,1.47429,0.58215,0.5471,0.37998,0.23791,1.85143,2.13611,2.1224,0.00159191,0.00159191,0.00159191
32,1438.49,1.28792,1.33224,1.47538,0.60837,0.49209,0.43453,0.28914,1.84755,2.00324,2.14966,0.00156646,0.00156646,0.00156646
33,1480.99,1.27557,1.34022,1.45867,0.60057,0.54065,0.38242,0.24045,1.82997,2.06345,2.12467,0.00154047,0.00154047,0.00154047
34,1523.17,1.26493,1.30622,1.45527,0.56379,0.53451,0.37502,0.2383,1.82693,2.17031,2.05765,0.00151395,0.00151395,0.00151395
35,1563.59,1.26667,1.30808,1.45785,0.66958,0.47032,0.4546,0.30318,1.91832,2.14742,2.19653,0.00148694,0.00148694,0.00148694
36,1603.12,1.25328,1.33268,1.46062,0.64909,0.50903,0.46089,0.30689,1.84519,2.05199,2.09733,0.00145945,0.00145945,0.00145945
37,1645.4,1.24101,1.2691,1.44474,0.58962,0.52928,0.372,0.23904,1.8905,2.05853,2.18214,0.00143152,0.00143152,0.00143152
38,1685.36,1.23021,1.26974,1.43609,0.72734,0.47161,0.45339,0.29564,2.00212,2.37289,2.27384,0.00140318,0.00140318,0.00140318
39,1724.79,1.23427,1.27702,1.42771,0.61205,0.52516,0.42486,0.28409,1.8641,2.03023,2.07562,0.00137444,0.00137444,0.00137444
40,1766.88,1.2377,1.2971,1.42812,0.60288,0.53379,0.42459,0.27735,1.8081,2.04845,2.07301,0.00134535,0.00134535,0.00134535
41,1806.67,1.20348,1.25351,1.41553,0.61167,0.5271,0.40153,0.26113,1.86915,2.0242,2.12861,0.00131593,0.00131593,0.00131593
42,1846.07,1.21449,1.2436,1.41755,0.60312,0.53161,0.41197,0.2694,1.83727,2.05845,2.05546,0.0012862,0.0012862,0.0012862
43,1888.19,1.22651,1.27517,1.42395,0.60435,0.54774,0.44346,0.28942,1.82269,1.98557,2.04795,0.0012562,0.0012562,0.0012562
44,1929.63,1.20743,1.25004,1.40574,0.71483,0.47384,0.4668,0.31456,1.87699,2.15604,2.16086,0.00122596,0.00122596,0.00122596
45,1971.52,1.21583,1.25568,1.41355,0.62875,0.52258,0.44987,0.29774,1.8233,2.02742,2.11082,0.00119551,0.00119551,0.00119551
46,2011.31,1.19605,1.22523,1.40528,0.58112,0.55492,0.3828,0.24896,1.73085,2.20732,2.00577,0.00116487,0.00116487,0.00116487
47,2051.63,1.18835,1.2195,1.40172,0.58283,0.54387,0.38909,0.25209,1.78703,2.12064,2.06139,0.00113408,0.00113408,0.00113408
48,2091.82,1.22352,1.28056,1.41351,0.59103,0.54903,0.38384,0.24901,1.78474,2.09292,2.06269,0.00110317,0.00110317,0.00110317
49,2133.15,1.17792,1.2135,1.38875,0.58506,0.51742,0.39843,0.25402,1.82116,2.08073,2.13044,0.00107216,0.00107216,0.00107216
50,2177.28,1.16721,1.19089,1.38724,0.63507,0.52194,0.4676,0.31427,1.85345,2.05703,2.1734,0.0010411,0.0010411,0.0010411
51,2217.16,1.1471,1.19439,1.36903,0.61704,0.53097,0.45241,0.30004,1.79681,1.95215,2.13967,0.00101,0.00101,0.00101
52,2258.25,1.14261,1.1789,1.35992,0.64088,0.52258,0.43507,0.28758,1.79995,2.06553,2.13367,0.000978903,0.000978903,0.000978903
53,2299.61,1.15722,1.17123,1.37632,0.6387,0.51355,0.46879,0.31473,1.83075,2.05058,2.13321,0.000947837,0.000947837,0.000947837
54,2340.64,1.14806,1.19307,1.35823,0.69456,0.47742,0.47494,0.32152,1.81196,2.04495,2.09816,0.000916833,0.000916833,0.000916833
55,2381.65,1.14847,1.17541,1.37393,0.59074,0.54944,0.41821,0.27638,1.8096,2.05729,2.08953,0.00088592,0.00088592,0.00088592
56,2422.74,1.13702,1.18381,1.36058,0.62652,0.51299,0.46536,0.31015,1.8719,2.04449,2.17441,0.00085513,0.00085513,0.00085513
57,2463.43,1.13028,1.14543,1.35471,0.59806,0.53226,0.42465,0.27747,1.81957,2.01684,2.12054,0.000824492,0.000824492,0.000824492
58,2504.85,1.14625,1.17122,1.37001,0.61242,0.54194,0.46042,0.30929,1.84142,2.06879,2.11702,0.000794038,0.000794038,0.000794038
59,2546.4,1.12575,1.15016,1.35128,0.61648,0.51032,0.41373,0.27163,1.79707,2.10633,2.10047,0.000763797,0.000763797,0.000763797
60,2587.75,1.11311,1.15776,1.35691,0.61058,0.51097,0.45283,0.3033,1.83566,2.06214,2.12979,0.000733799,0.000733799,0.000733799
61,2629.32,1.10518,1.14371,1.35099,0.61211,0.53553,0.45491,0.3081,1.78105,1.97545,2.08652,0.000704073,0.000704073,0.000704073
62,2670.49,1.09866,1.12802,1.34564,0.66969,0.49677,0.46847,0.31572,1.90126,2.09986,2.23065,0.000674649,0.000674649,0.000674649
63,2712.62,1.09682,1.10859,1.32738,0.61395,0.52903,0.44949,0.29536,1.82242,2.06271,2.13438,0.000645557,0.000645557,0.000645557
64,2753.65,1.08894,1.09112,1.3229,0.60487,0.50764,0.4407,0.29256,1.83649,2.04089,2.10503,0.000616824,0.000616824,0.000616824
65,2795.39,1.10568,1.1313,1.33679,0.69376,0.48581,0.47915,0.31677,1.90651,2.15146,2.23148,0.000588479,0.000588479,0.000588479
66,2836.85,1.06016,1.08914,1.31414,0.66021,0.5,0.47951,0.31975,1.84847,2.03683,2.15709,0.000560549,0.000560549,0.000560549
67,2878.03,1.06499,1.09095,1.31741,0.69038,0.47871,0.4752,0.315,1.89594,2.05821,2.20934,0.000533064,0.000533064,0.000533064
68,2918.55,1.07445,1.09489,1.33104,0.62898,0.51406,0.465,0.31453,1.79593,2.02781,2.06876,0.000506049,0.000506049,0.000506049
69,2960.03,1.07292,1.09336,1.3135,0.6345,0.51419,0.47291,0.31728,1.81312,1.97607,2.10806,0.000479531,0.000479531,0.000479531
70,3000.7,1.04537,1.05471,1.30179,0.68887,0.46996,0.47523,0.32329,1.89268,2.10185,2.18854,0.000453537,0.000453537,0.000453537
71,3043.02,1.07483,1.10505,1.31831,0.62911,0.48839,0.46186,0.30839,1.8481,2.04784,2.13285,0.000428093,0.000428093,0.000428093
72,3083.18,1.07922,1.09158,1.31782,0.65756,0.49161,0.47224,0.31284,1.81217,1.99497,2.11959,0.000403222,0.000403222,0.000403222
