epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,69.813,1.47408,2.01908,1.70115,0.54362,0.50567,0.38306,0.2567,1.88228,2.13726,2.04471,0.00332108,0.00332108,0.0701103
2,134.154,1.40025,1.4053,1.55975,0.56098,0.51548,0.37254,0.2453,1.7882,2.26222,1.91454,0.00665279,0.00665279,0.0401087
3,201.198,1.4835,1.50423,1.61243,0.52462,0.38194,0.30768,0.177,2.231,2.89185,2.44262,0.00997799,0.00997799,0.0101005
4,267.027,1.5427,1.58684,1.65872,0.52282,0.38387,0.31455,0.18823,2.41136,2.71825,2.68235,0.00997803,0.00997803,0.00997803
5,331.717,1.58326,1.61372,1.68731,0.47912,0.40645,0.28087,0.16049,2.11056,2.65051,2.21028,0.00996097,0.00996097,0.00996097
6,397.304,1.53947,1.60386,1.66024,0.52691,0.48516,0.31917,0.18843,2.08548,2.42552,2.23159,0.00993906,0.00993906,0.00993906
7,468.561,1.5196,1.57044,1.64033,0.51731,0.48645,0.36919,0.2286,2.02652,2.19524,2.18604,0.00991232,0.00991232,0.00991232
8,533.391,1.5244,1.58985,1.64217,0.54201,0.51161,0.34038,0.19858,2.03848,2.30831,2.17341,0.00988079,0.00988079,0.00988079
9,599.94,1.51504,1.57529,1.65806,0.5582,0.50782,0.35698,0.22255,2.01555,2.2155,2.25568,0.00984449,0.00984449,0.00984449
10,663.016,1.47131,1.55929,1.62864,0.53169,0.50774,0.34441,0.21291,1.98815,2.25035,2.23674,0.00980345,0.00980345,0.00980345
11,730.016,1.46175,1.49181,1.59877,0.53189,0.50065,0.35181,0.21883,1.96514,2.2544,2.1859,0.00975773,0.00975773,0.00975773
12,793.977,1.46644,1.52405,1.60293,0.55818,0.50194,0.37653,0.24782,1.95324,2.26091,2.17751,0.00970736,0.00970736,0.00970736
13,857.41,1.42273,1.44703,1.57765,0.54688,0.51625,0.34626,0.21576,1.93054,2.21183,2.14377,0.00965239,0.00965239,0.00965239
14,928.059,1.41075,1.44743,1.57192,0.56396,0.52236,0.38415,0.24833,1.87817,2.21395,2.10308,0.00959289,0.00959289,0.00959289
15,996.422,1.3852,1.4265,1.55332,0.55156,0.52258,0.36105,0.23087,1.92428,2.33229,2.14555,0.00952889,0.00952889,0.00952889
16,1069.8,1.3862,1.39594,1.5406,0.57637,0.51876,0.37266,0.23095,1.88993,2.19115,2.11349,0.00946048,0.00946048,0.00946048
17,1143.3,1.37833,1.39752,1.54845,0.54539,0.53032,0.34858,0.21769,1.88324,2.17686,2.13122,0.00938772,0.00938772,0.00938772
18,1213.77,1.37327,1.42386,1.54261,0.55948,0.50839,0.39352,0.25383,1.90744,2.11738,2.14825,0.00931067,0.00931067,0.00931067
19,1283.04,1.35429,1.38643,1.52434,0.55674,0.52065,0.35271,0.22551,1.88766,2.33068,2.14487,0.00922942,0.00922942,0.00922942
20,1349.51,1.3459,1.34813,1.51766,0.58899,0.5122,0.37197,0.23485,1.93509,2.22001,2.19934,0.00914405,0.00914405,0.00914405
21,1418.02,1.32211,1.33644,1.49196,0.57713,0.4929,0.38545,0.25174,1.96304,2.27442,2.23951,0.00905463,0.00905463,0.00905463
22,1489.47,1.33077,1.37285,1.50247,0.55763,0.53097,0.37818,0.25304,1.87323,2.08693,2.16525,0.00896127,0.00896127,0.00896127
23,1558.98,1.30289,1.33364,1.48742,0.59391,0.52839,0.39266,0.25856,1.84044,2.18622,2.08453,0.00886404,0.00886404,0.00886404
24,1628.29,1.31296,1.31838,1.48074,0.56648,0.52387,0.39849,0.2581,1.92315,2.22199,2.18856,0.00876305,0.00876305,0.00876305
25,1696.76,1.28263,1.29308,1.4659,0.58735,0.52516,0.39487,0.25303,1.9461,2.13784,2.22797,0.00865839,0.00865839,0.00865839
26,1767,1.27824,1.29403,1.46584,0.57599,0.54323,0.37298,0.24096,1.83732,2.14082,2.13726,0.00855018,0.00855018,0.00855018
27,1830.49,1.25429,1.26292,1.45348,0.56958,0.53613,0.38069,0.24467,1.84894,2.15826,2.1052,0.00843851,0.00843851,0.00843851
28,1896.83,1.25006,1.2506,1.43991,0.58106,0.54673,0.3766,0.24095,1.79399,2.1702,2.13262,0.00832349,0.00832349,0.00832349
29,1959.84,1.25379,1.26008,1.45076,0.57649,0.55677,0.36786,0.23337,1.83284,2.2563,2.14911,0.00820525,0.00820525,0.00820525
30,2023.67,1.2382,1.23422,1.43903,0.57913,0.52581,0.36159,0.23393,1.80964,2.21475,2.1029,0.00808389,0.00808389,0.00808389
31,2091.49,1.24514,1.26056,1.43469,0.59365,0.50516,0.41712,0.28254,1.85979,2.08452,2.14284,0.00795954,0.00795954,0.00795954
32,2157.36,1.22477,1.22602,1.42248,0.58298,0.55032,0.39908,0.26807,1.7842,2.13493,2.04755,0.00783231,0.00783231,0.00783231
33,2222.2,1.22412,1.2324,1.43075,0.60421,0.54968,0.41507,0.2755,1.80676,2.02322,2.04942,0.00770234,0.00770234,0.00770234
34,2289.28,1.22977,1.24998,1.43511,0.58217,0.54258,0.38853,0.25167,1.86566,2.14869,2.1764,0.00756976,0.00756976,0.00756976
35,2358.45,1.19218,1.18817,1.40155,0.59021,0.50774,0.37306,0.23935,1.87138,2.20933,2.12555,0.00743468,0.00743468,0.00743468
36,2422.1,1.20998,1.2414,1.41758,0.59514,0.51402,0.41641,0.27615,1.82223,2.19561,2.08842,0.00729725,0.00729725,0.00729725
37,2492.34,1.18777,1.1908,1.39109,0.58862,0.52194,0.39194,0.25906,1.80566,2.15821,2.08189,0.00715761,0.00715761,0.00715761
