epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,118.057,1.70331,2.51907,1.82738,0.43613,0.37226,0.26102,0.13352,2.46105,2.73062,2.61092,0.000665441,0.000665441,0.000665441
2,240.782,1.88238,2.08101,1.951,0.33672,0.32903,0.20349,0.0912,2.58196,2.70388,2.46207,0.00133178,0.00133178,0.00133178
3,365.113,1.94358,2.18081,2.00365,0.43458,0.3529,0.25749,0.14035,2.35803,2.85411,2.50997,0.00199682,0.00199682,0.00199682
4,501.935,1.856,2.07762,1.93175,0.41863,0.40581,0.28031,0.16529,2.15882,2.77851,2.41812,0.00199561,0.00199561,0.00199561
5,608.324,1.79991,2.04182,1.91117,0.45617,0.42643,0.28553,0.15372,2.25833,2.60242,2.44592,0.00199219,0.00199219,0.00199219
6,713.121,1.73583,1.90833,1.84879,0.48782,0.44774,0.33643,0.19326,2.26713,2.51075,2.41152,0.00198781,0.00198781,0.00198781
7,820.625,1.69817,1.88353,1.82054,0.53294,0.46774,0.34663,0.21279,2.16593,2.54091,2.38087,0.00198246,0.00198246,0.00198246
8,926.569,1.69709,1.87463,1.82723,0.49159,0.46038,0.33717,0.20404,2.10346,2.46308,2.30238,0.00197616,0.00197616,0.00197616
9,1034.77,1.61706,1.7499,1.7511,0.53676,0.47355,0.35948,0.22086,2.10248,2.52143,2.30062,0.0019689,0.0019689,0.0019689
10,1142.35,1.60941,1.74895,1.74346,0.53335,0.47742,0.35516,0.22116,2.08811,2.49004,2.25947,0.00196069,0.00196069,0.00196069
11,1250.03,1.5771,1.70121,1.71116,0.48558,0.4871,0.30706,0.17803,2.04707,2.49267,2.23277,0.00195155,0.00195155,0.00195155
12,1357.29,1.57645,1.66565,1.70899,0.54843,0.51419,0.33751,0.20853,2.01702,2.48621,2.24416,0.00194147,0.00194147,0.00194147
13,1465.57,1.54568,1.67908,1.70954,0.54572,0.50194,0.33248,0.20176,2.04009,2.48409,2.2849,0.00193048,0.00193048,0.00193048
